"country","subregion","region","smartphone_adoption","happiness","literacy","discrimination_index","homicide_rate","education","income","gini","suicide_rate","gun_deaths","internet_speed","population","gender_equality","social_progress","human_needs","well_being","opportunity","life_expectancy","terrorism_score","peace_index","satisfaction","web_index"
"87","Bahrain","Western Asia","Asia",NA,5.312,95.7,NA,0.5,0.714,NA,"",8.1,NA,NA,1359800,0.6261,NA,NA,67.17,46.94,77,4.87,2.142,240,36.41
"88","Montenegro","Southern Europe","Europe",NA,5.299,98.7,NA,2.7,0.774,NA,"30.0",15.3,8.91,NA,621207,NA,69.01,81.89,72.09,53.04,76,0.66,1.854,NA,NA
"89","Pakistan","Southern Asia","Asia",NA,5.292,58.6,NA,7.7,0.322,NA,"30.0",9.3,NA,NA,192199336,0.5522,45.66,56.37,50.71,29.9,65,9.07,3.049,143.33,17.76
"90","Nigeria","Western Africa","Africa",NA,5.248,59.5,NA,20,0.425,NA,"43.0",6.5,NA,NA,182202000,0.6391,43.31,39.04,61.51,29.37,54,9.21,2.91,183.33,28.09
"91","Kosovo","Southern Europe","Europe",NA,5.222,NA,NA,3.6,NA,NA,"",NA,NA,NA,1827231,NA,NA,NA,NA,NA,NA,3.02,1.938,NA,NA
"92","Honduras","Central America","Americas",NA,5.142,88.4,5.8,90.4,0.505,NA,"57.4",5.5,67.18,NA,8576532,0.6935,61.44,65.29,72.71,46.32,74,2.08,2.21,240,NA
"93","Afghanistan","Southern Asia","Asia",NA,NA,38.1,NA,6.5,0.365,NA,"27.8",5.7,NA,NA,26023100,NA,35.4,37.17,46.5,22.51,60,9.23,3.427,NA,NA
"94","Andorra","Southern Europe","Europe",NA,NA,NA,NA,1.3,0.67,NA,NA,NA,NA,NA,76949,NA,NA,NA,NA,NA,83,NA,NA,NA,NA
"95","Antigua and Barbuda","Caribbean","Americas",NA,NA,NA,4.1,11.2,0.681,NA,NA,NA,NA,NA,86295,NA,NA,NA,NA,NA,75,NA,NA,246.67,NA
"96","Armenia","Western Asia","Asia",NA,NA,99.7,5.7,1.8,0.701,NA,"30.3",2.9,NA,NA,3004000,0.6622,65.7,82.6,69.28,45.24,71,0.12,2.028,123.33,NA
